ID,Название,Автор(ы),Год издания,Издатель,Обложка
2825623,Слово пацана. Криминальный Татарстан 1970–2010-х,Гараев Роберт,2022,Individuum,https://content.img-gorod.ru/nomenclature/28/256/2825623-3.jpg?width=310&height=500&fit=bounds
3040344,Город Полумесяца. Дом Пламени и Тени,Маас Сара,2024,Азбука,https://content.img-gorod.ru/nomenclature/30/403/3040344-1.jpg?width=310&height=500&fit=bounds
3042224,Имя ей Хель,Кондрацкая Елена,2024,,https://content.img-gorod.ru/nomenclature/30/422/3042224-1.jpg?width=310&height=500&fit=bounds
3039935,Безмолвное чтение. Том 1. Жюльен (лимитированное издание),Priest,2024,Комильфо,https://content.img-gorod.ru/nomenclature/30/399/3039935-4.jpg?width=310&height=500&fit=bounds
3041273,Колесо Времени. Книга 13. Башни Полуночи,"Джордан Роберт,, Сандерсон Брендон",2024,Азбука,https://content.img-gorod.ru/nomenclature/30/412/3041273-1.jpg?width=310&height=500&fit=bounds
3016326,Благословение небожителей. Том 6,Мосян Тунсю,2023,Комильфо,https://content.img-gorod.ru/nomenclature/30/163/3016326-7.jpg?width=310&height=500&fit=bounds
3042228,"Любовь серого оттенка. Свет, ставший ядом (#2)",Инспирати Елена,2024,,https://content.img-gorod.ru/nomenclature/30/422/3042228-1.jpg?width=310&height=500&fit=bounds
3041830,Ночь дракона,Кагава Джули,2024,Popcorn Books,https://content.img-gorod.ru/nomenclature/30/418/3041830-3.jpg?width=310&height=500&fit=bounds
3026305,Демон из Пустоши. Колдун Российской империи,Дашкевич Виктор,2024,Эксмо,https://content.img-gorod.ru/nomenclature/30/263/3026305-6.jpg?width=310&height=500&fit=bounds
3041786,Дождись меня в нашем саду + Постер Дождись меня в нашем саду,Черкасова Ульяна,2024,,https://content.img-gorod.ru/nomenclature/30/417/3041786-1.jpg?width=310&height=500&fit=bounds
3040615,Система Спаси-Себя-Сам для Главного Злодея. Том 2. (книга+тату+открытка),Мосян Тунсю,2024,Эксмо,https://content.img-gorod.ru/nomenclature/30/406/3040615-1.jpg?width=310&height=500&fit=bounds
3038714,Убийства и кексики. Детективное агентство «Благотворительный магазин» (#1),Боланд Питер,2024,Inspiria,https://content.img-gorod.ru/nomenclature/30/387/3038714-3.jpg?width=310&height=500&fit=bounds
